time (s), pos (units), dist (units), vel (units/s), accel (units/s^2)
0,0,0,0,0
0.1,0.5,0.5,10,100
0.2,2,2,20,100
0.3,4.5,4.5,30,100
0.4,8,8,40,100
0.5,12.2214,12.2214,39.4427,-5.57281
0.6,15.6656,15.6656,29.4427,-100
0.7,18.1099,18.1099,19.4427,-100
0.8,19.5542,19.5542,9.44272,-100
0.894427,20,20,0,0
